Emoji in emoji.txt: 5225
Annotation entries in CLDR: 3948
Emoji missing from CLDR annotations: 1277

0023 FE0F 20E3	#️⃣
26F9 1F3FF 200D 2642 FE0F	⛹🏿‍♂️
2702 FE0F	✂️
2708 FE0F	✈️
2709 FE0F	✉️
270C FE0F	✌️
270D FE0F	✍️
270F FE0F	✏️
2712 FE0F	✒️
2714 FE0F	✔️
2716 FE0F	✖️
271D FE0F	✝️
2721 FE0F	✡️
2733 FE0F	✳️
2734 FE0F	✴️
2744 FE0F	❄️
2747 FE0F	❇️
2763 FE0F	❣️
2764 FE0F	❤️
2764 FE0F 200D 1F525	❤️‍🔥
2764 FE0F 200D 1FA79	❤️‍🩹
27A1 FE0F	➡️
2934 FE0F	⤴️
2935 FE0F	⤵️
2B05 FE0F	⬅️
2B06 FE0F	⬆️
2B07 FE0F	⬇️
3030 FE0F	〰️
303D FE0F	〽️
3297 FE0F	㊗️
3299 FE0F	㊙️
1F170 FE0F	🅰️
1F171 FE0F	🅱️
1F17E FE0F	🅾️
1F17F FE0F	🅿️
1F202 FE0F	🈂️
1F237 FE0F	🈷️
1F321 FE0F	🌡️
1F324 FE0F	🌤️
1F325 FE0F	🌥️
1F326 FE0F	🌦️
1F327 FE0F	🌧️
1F328 FE0F	🌨️
1F329 FE0F	🌩️
1F32A FE0F	🌪️
1F32B FE0F	🌫️
1F32C FE0F	🌬️
1F336 FE0F	🌶️
1F37D FE0F	🍽️
1F396 FE0F	🎖️
1F397 FE0F	🎗️
1F399 FE0F	🎙️
1F39A FE0F	🎚️
1F39B FE0F	🎛️
1F39E FE0F	🎞️
1F39F FE0F	🎟️
1F3C3 200D 2640 200D 27A1 FE0F	🏃‍♀‍➡️
1F3C3 200D 2640 FE0F	🏃‍♀️
1F3C3 200D 2640 FE0F 200D 27A1	🏃‍♀️‍➡
1F3C3 200D 2640 FE0F 200D 27A1 FE0F	🏃‍♀️‍➡️
1F3C3 200D 2642 200D 27A1 FE0F	🏃‍♂‍➡️
1F3C3 200D 2642 FE0F	🏃‍♂️
1F3C3 200D 2642 FE0F 200D 27A1	🏃‍♂️‍➡
1F3C3 200D 2642 FE0F 200D 27A1 FE0F	🏃‍♂️‍➡️
1F3C3 200D 27A1 FE0F	🏃‍➡️
1F3C3 1F3FB 200D 2640 200D 27A1 FE0F	🏃🏻‍♀‍➡️
1F3C3 1F3FB 200D 2640 FE0F	🏃🏻‍♀️
1F3C3 1F3FB 200D 2640 FE0F 200D 27A1	🏃🏻‍♀️‍➡
1F3C3 1F3FB 200D 2640 FE0F 200D 27A1 FE0F	🏃🏻‍♀️‍➡️
1F3C3 1F3FB 200D 2642 200D 27A1 FE0F	🏃🏻‍♂‍➡️
1F3C3 1F3FB 200D 2642 FE0F	🏃🏻‍♂️
1F3C3 1F3FB 200D 2642 FE0F 200D 27A1	🏃🏻‍♂️‍➡
1F3C3 1F3FB 200D 2642 FE0F 200D 27A1 FE0F	🏃🏻‍♂️‍➡️
1F3C3 1F3FB 200D 27A1 FE0F	🏃🏻‍➡️
1F3C3 1F3FC 200D 2640 200D 27A1 FE0F	🏃🏼‍♀‍➡️
1F3C3 1F3FC 200D 2640 FE0F	🏃🏼‍♀️
1F3C3 1F3FC 200D 2640 FE0F 200D 27A1	🏃🏼‍♀️‍➡
1F3C3 1F3FC 200D 2640 FE0F 200D 27A1 FE0F	🏃🏼‍♀️‍➡️
1F3C3 1F3FC 200D 2642 200D 27A1 FE0F	🏃🏼‍♂‍➡️
1F3C3 1F3FC 200D 2642 FE0F	🏃🏼‍♂️
1F3C3 1F3FC 200D 2642 FE0F 200D 27A1	🏃🏼‍♂️‍➡
1F3C3 1F3FC 200D 2642 FE0F 200D 27A1 FE0F	🏃🏼‍♂️‍➡️
1F3C3 1F3FC 200D 27A1 FE0F	🏃🏼‍➡️
1F3C3 1F3FD 200D 2640 200D 27A1 FE0F	🏃🏽‍♀‍➡️
1F3C3 1F3FD 200D 2640 FE0F	🏃🏽‍♀️
1F3C3 1F3FD 200D 2640 FE0F 200D 27A1	🏃🏽‍♀️‍➡
1F3C3 1F3FD 200D 2640 FE0F 200D 27A1 FE0F	🏃🏽‍♀️‍➡️
1F3C3 1F3FD 200D 2642 200D 27A1 FE0F	🏃🏽‍♂‍➡️
1F3C3 1F3FD 200D 2642 FE0F	🏃🏽‍♂️
1F3C3 1F3FD 200D 2642 FE0F 200D 27A1	🏃🏽‍♂️‍➡
1F3C3 1F3FD 200D 2642 FE0F 200D 27A1 FE0F	🏃🏽‍♂️‍➡️
1F3C3 1F3FD 200D 27A1 FE0F	🏃🏽‍➡️
1F3C3 1F3FE 200D 2640 200D 27A1 FE0F	🏃🏾‍♀‍➡️
1F3C3 1F3FE 200D 2640 FE0F	🏃🏾‍♀️
1F3C3 1F3FE 200D 2640 FE0F 200D 27A1	🏃🏾‍♀️‍➡
1F3C3 1F3FE 200D 2640 FE0F 200D 27A1 FE0F	🏃🏾‍♀️‍➡️
1F3C3 1F3FE 200D 2642 200D 27A1 FE0F	🏃🏾‍♂‍➡️
1F3C3 1F3FE 200D 2642 FE0F	🏃🏾‍♂️
1F3C3 1F3FE 200D 2642 FE0F 200D 27A1	🏃🏾‍♂️‍➡
1F3C3 1F3FE 200D 2642 FE0F 200D 27A1 FE0F	🏃🏾‍♂️‍➡️
1F3C3 1F3FE 200D 27A1 FE0F	🏃🏾‍➡️
1F3C3 1F3FF 200D 2640 200D 27A1 FE0F	🏃🏿‍♀‍➡️
1F3C3 1F3FF 200D 2640 FE0F	🏃🏿‍♀️
1F3C3 1F3FF 200D 2640 FE0F 200D 27A1	🏃🏿‍♀️‍➡
1F3C3 1F3FF 200D 2640 FE0F 200D 27A1 FE0F	🏃🏿‍♀️‍➡️
1F3C3 1F3FF 200D 2642 200D 27A1 FE0F	🏃🏿‍♂‍➡️
1F3C3 1F3FF 200D 2642 FE0F	🏃🏿‍♂️
1F3C3 1F3FF 200D 2642 FE0F 200D 27A1	🏃🏿‍♂️‍➡
1F3C3 1F3FF 200D 2642 FE0F 200D 27A1 FE0F	🏃🏿‍♂️‍➡️
1F3C3 1F3FF 200D 27A1 FE0F	🏃🏿‍➡️
1F3C4 200D 2640 FE0F	🏄‍♀️
1F3C4 200D 2642 FE0F	🏄‍♂️
1F3C4 1F3FB 200D 2640 FE0F	🏄🏻‍♀️
1F3C4 1F3FB 200D 2642 FE0F	🏄🏻‍♂️
1F3C4 1F3FC 200D 2640 FE0F	🏄🏼‍♀️
1F3C4 1F3FC 200D 2642 FE0F	🏄🏼‍♂️
1F3C4 1F3FD 200D 2640 FE0F	🏄🏽‍♀️
1F3C4 1F3FD 200D 2642 FE0F	🏄🏽‍♂️
1F3C4 1F3FE 200D 2640 FE0F	🏄🏾‍♀️
1F3C4 1F3FE 200D 2642 FE0F	🏄🏾‍♂️
1F3C4 1F3FF 200D 2640 FE0F	🏄🏿‍♀️
1F3C4 1F3FF 200D 2642 FE0F	🏄🏿‍♂️
1F3CA 200D 2640 FE0F	🏊‍♀️
1F3CA 200D 2642 FE0F	🏊‍♂️
1F3CA 1F3FB 200D 2640 FE0F	🏊🏻‍♀️
1F3CA 1F3FB 200D 2642 FE0F	🏊🏻‍♂️
1F3CA 1F3FC 200D 2640 FE0F	🏊🏼‍♀️
1F3CA 1F3FC 200D 2642 FE0F	🏊🏼‍♂️
1F3CA 1F3FD 200D 2640 FE0F	🏊🏽‍♀️
1F3CA 1F3FD 200D 2642 FE0F	🏊🏽‍♂️
1F3CA 1F3FE 200D 2640 FE0F	🏊🏾‍♀️
1F3CA 1F3FE 200D 2642 FE0F	🏊🏾‍♂️
1F3CA 1F3FF 200D 2640 FE0F	🏊🏿‍♀️
1F3CA 1F3FF 200D 2642 FE0F	🏊🏿‍♂️
1F3CB 200D 2640 FE0F	🏋‍♀️
1F3CB 200D 2642 FE0F	🏋‍♂️
1F3CB FE0F	🏋️
1F3CB FE0F 200D 2640	🏋️‍♀
1F3CB FE0F 200D 2640 FE0F	🏋️‍♀️
1F3CB FE0F 200D 2642	🏋️‍♂
1F3CB FE0F 200D 2642 FE0F	🏋️‍♂️
1F3CB 1F3FB 200D 2640 FE0F	🏋🏻‍♀️
1F3CB 1F3FB 200D 2642 FE0F	🏋🏻‍♂️
1F3CB 1F3FC 200D 2640 FE0F	🏋🏼‍♀️
1F3CB 1F3FC 200D 2642 FE0F	🏋🏼‍♂️
1F3CB 1F3FD 200D 2640 FE0F	🏋🏽‍♀️
1F3CB 1F3FD 200D 2642 FE0F	🏋🏽‍♂️
1F3CB 1F3FE 200D 2640 FE0F	🏋🏾‍♀️
1F3CB 1F3FE 200D 2642 FE0F	🏋🏾‍♂️
1F3CB 1F3FF 200D 2640 FE0F	🏋🏿‍♀️
1F3CB 1F3FF 200D 2642 FE0F	🏋🏿‍♂️
1F3CC 200D 2640 FE0F	🏌‍♀️
1F3CC 200D 2642 FE0F	🏌‍♂️
1F3CC FE0F	🏌️
1F3CC FE0F 200D 2640	🏌️‍♀
1F3CC FE0F 200D 2640 FE0F	🏌️‍♀️
1F3CC FE0F 200D 2642	🏌️‍♂
1F3CC FE0F 200D 2642 FE0F	🏌️‍♂️
1F3CC 1F3FB 200D 2640 FE0F	🏌🏻‍♀️
1F3CC 1F3FB 200D 2642 FE0F	🏌🏻‍♂️
1F3CC 1F3FC 200D 2640 FE0F	🏌🏼‍♀️
1F3CC 1F3FC 200D 2642 FE0F	🏌🏼‍♂️
1F3CC 1F3FD 200D 2640 FE0F	🏌🏽‍♀️
1F3CC 1F3FD 200D 2642 FE0F	🏌🏽‍♂️
1F3CC 1F3FE 200D 2640 FE0F	🏌🏾‍♀️
1F3CC 1F3FE 200D 2642 FE0F	🏌🏾‍♂️
1F3CC 1F3FF 200D 2640 FE0F	🏌🏿‍♀️
1F3CC 1F3FF 200D 2642 FE0F	🏌🏿‍♂️
1F3CD FE0F	🏍️
1F3CE FE0F	🏎️
1F3D4 FE0F	🏔️
1F3D5 FE0F	🏕️
1F3D6 FE0F	🏖️
1F3D7 FE0F	🏗️
1F3D8 FE0F	🏘️
1F3D9 FE0F	🏙️
1F3DA FE0F	🏚️
1F3DB FE0F	🏛️
1F3DC FE0F	🏜️
1F3DD FE0F	🏝️
1F3DE FE0F	🏞️
1F3DF FE0F	🏟️
1F3F3 200D 26A7 FE0F	🏳‍⚧️
1F3F3 FE0F	🏳️
1F3F3 FE0F 200D 26A7	🏳️‍⚧
1F3F3 FE0F 200D 26A7 FE0F	🏳️‍⚧️
1F3F3 FE0F 200D 1F308	🏳️‍🌈
1F3F4 200D 2620 FE0F	🏴‍☠️
1F3F5 FE0F	🏵️
1F3F7 FE0F	🏷️
1F3FB	🏻
1F3FC	🏼
1F3FD	🏽
1F3FE	🏾
1F3FF	🏿
1F43B 200D 2744 FE0F	🐻‍❄️
1F43F FE0F	🐿️
1F441 200D 1F5E8 FE0F	👁‍🗨️
1F441 FE0F	👁️
1F441 FE0F 200D 1F5E8	👁️‍🗨
1F441 FE0F 200D 1F5E8 FE0F	👁️‍🗨️
1F468 200D 2695 FE0F	👨‍⚕️
1F468 200D 2696 FE0F	👨‍⚖️
1F468 200D 2708 FE0F	👨‍✈️
1F468 200D 2764 FE0F 200D 1F468	👨‍❤️‍👨
1F468 200D 2764 FE0F 200D 1F48B 200D 1F468	👨‍❤️‍💋‍👨
1F468 200D 1F9AF 200D 27A1 FE0F	👨‍🦯‍➡️
1F468 200D 1F9BC 200D 27A1 FE0F	👨‍🦼‍➡️
1F468 200D 1F9BD 200D 27A1 FE0F	👨‍🦽‍➡️
1F468 1F3FB 200D 2695 FE0F	👨🏻‍⚕️
1F468 1F3FB 200D 2696 FE0F	👨🏻‍⚖️
1F468 1F3FB 200D 2708 FE0F	👨🏻‍✈️
1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FB	👨🏻‍❤️‍👨🏻
1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FC	👨🏻‍❤️‍👨🏼
1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FD	👨🏻‍❤️‍👨🏽
1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FE	👨🏻‍❤️‍👨🏾
1F468 1F3FB 200D 2764 FE0F 200D 1F468 1F3FF	👨🏻‍❤️‍👨🏿
1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB	👨🏻‍❤️‍💋‍👨🏻
1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC	👨🏻‍❤️‍💋‍👨🏼
1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD	👨🏻‍❤️‍💋‍👨🏽
1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE	👨🏻‍❤️‍💋‍👨🏾
1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF	👨🏻‍❤️‍💋‍👨🏿
1F468 1F3FB 200D 1F9AF 200D 27A1 FE0F	👨🏻‍🦯‍➡️
1F468 1F3FB 200D 1F9BC 200D 27A1 FE0F	👨🏻‍🦼‍➡️
1F468 1F3FB 200D 1F9BD 200D 27A1 FE0F	👨🏻‍🦽‍➡️
1F468 1F3FC 200D 2695 FE0F	👨🏼‍⚕️
1F468 1F3FC 200D 2696 FE0F	👨🏼‍⚖️
1F468 1F3FC 200D 2708 FE0F	👨🏼‍✈️
1F468 1F3FC 200D 2764 FE0F 200D 1F468 1F3FB	👨🏼‍❤️‍👨🏻
1F468 1F3FC 200D 2764 FE0F 200D 1F468 1F3FC	👨🏼‍❤️‍👨🏼
1F468 1F3FC 200D 2764 FE0F 200D 1F468 1F3FD	👨🏼‍❤️‍👨🏽
1F468 1F3FC 200D 2764 FE0F 200D 1F468 1F3FE	👨🏼‍❤️‍👨🏾
1F468 1F3FC 200D 2764 FE0F 200D 1F468 1F3FF	👨🏼‍❤️‍👨🏿
1F468 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB	👨🏼‍❤️‍💋‍👨🏻
1F468 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC	👨🏼‍❤️‍💋‍👨🏼
1F468 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD	👨🏼‍❤️‍💋‍👨🏽
1F468 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE	👨🏼‍❤️‍💋‍👨🏾
1F468 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF	👨🏼‍❤️‍💋‍👨🏿
1F468 1F3FC 200D 1F9AF 200D 27A1 FE0F	👨🏼‍🦯‍➡️
1F468 1F3FC 200D 1F9BC 200D 27A1 FE0F	👨🏼‍🦼‍➡️
1F468 1F3FC 200D 1F9BD 200D 27A1 FE0F	👨🏼‍🦽‍➡️
1F468 1F3FD 200D 2695 FE0F	👨🏽‍⚕️
1F468 1F3FD 200D 2696 FE0F	👨🏽‍⚖️
1F468 1F3FD 200D 2708 FE0F	👨🏽‍✈️
1F468 1F3FD 200D 2764 FE0F 200D 1F468 1F3FB	👨🏽‍❤️‍👨🏻
1F468 1F3FD 200D 2764 FE0F 200D 1F468 1F3FC	👨🏽‍❤️‍👨🏼
1F468 1F3FD 200D 2764 FE0F 200D 1F468 1F3FD	👨🏽‍❤️‍👨🏽
1F468 1F3FD 200D 2764 FE0F 200D 1F468 1F3FE	👨🏽‍❤️‍👨🏾
1F468 1F3FD 200D 2764 FE0F 200D 1F468 1F3FF	👨🏽‍❤️‍👨🏿
1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB	👨🏽‍❤️‍💋‍👨🏻
1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC	👨🏽‍❤️‍💋‍👨🏼
1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD	👨🏽‍❤️‍💋‍👨🏽
1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE	👨🏽‍❤️‍💋‍👨🏾
1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF	👨🏽‍❤️‍💋‍👨🏿
1F468 1F3FD 200D 1F9AF 200D 27A1 FE0F	👨🏽‍🦯‍➡️
1F468 1F3FD 200D 1F9BC 200D 27A1 FE0F	👨🏽‍🦼‍➡️
1F468 1F3FD 200D 1F9BD 200D 27A1 FE0F	👨🏽‍🦽‍➡️
1F468 1F3FE 200D 2695 FE0F	👨🏾‍⚕️
1F468 1F3FE 200D 2696 FE0F	👨🏾‍⚖️
1F468 1F3FE 200D 2708 FE0F	👨🏾‍✈️
1F468 1F3FE 200D 2764 FE0F 200D 1F468 1F3FB	👨🏾‍❤️‍👨🏻
1F468 1F3FE 200D 2764 FE0F 200D 1F468 1F3FC	👨🏾‍❤️‍👨🏼
1F468 1F3FE 200D 2764 FE0F 200D 1F468 1F3FD	👨🏾‍❤️‍👨🏽
1F468 1F3FE 200D 2764 FE0F 200D 1F468 1F3FE	👨🏾‍❤️‍👨🏾
1F468 1F3FE 200D 2764 FE0F 200D 1F468 1F3FF	👨🏾‍❤️‍👨🏿
1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB	👨🏾‍❤️‍💋‍👨🏻
1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC	👨🏾‍❤️‍💋‍👨🏼
1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD	👨🏾‍❤️‍💋‍👨🏽
1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE	👨🏾‍❤️‍💋‍👨🏾
1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF	👨🏾‍❤️‍💋‍👨🏿
1F468 1F3FE 200D 1F9AF 200D 27A1 FE0F	👨🏾‍🦯‍➡️
1F468 1F3FE 200D 1F9BC 200D 27A1 FE0F	👨🏾‍🦼‍➡️
1F468 1F3FE 200D 1F9BD 200D 27A1 FE0F	👨🏾‍🦽‍➡️
1F468 1F3FF 200D 2695 FE0F	👨🏿‍⚕️
1F468 1F3FF 200D 2696 FE0F	👨🏿‍⚖️
1F468 1F3FF 200D 2708 FE0F	👨🏿‍✈️
1F468 1F3FF 200D 2764 FE0F 200D 1F468 1F3FB	👨🏿‍❤️‍👨🏻
1F468 1F3FF 200D 2764 FE0F 200D 1F468 1F3FC	👨🏿‍❤️‍👨🏼
1F468 1F3FF 200D 2764 FE0F 200D 1F468 1F3FD	👨🏿‍❤️‍👨🏽
1F468 1F3FF 200D 2764 FE0F 200D 1F468 1F3FE	👨🏿‍❤️‍👨🏾
1F468 1F3FF 200D 2764 FE0F 200D 1F468 1F3FF	👨🏿‍❤️‍👨🏿
1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB	👨🏿‍❤️‍💋‍👨🏻
1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC	👨🏿‍❤️‍💋‍👨🏼
1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD	👨🏿‍❤️‍💋‍👨🏽
1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE	👨🏿‍❤️‍💋‍👨🏾
1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF	👨🏿‍❤️‍💋‍👨🏿
1F468 1F3FF 200D 1F9AF 200D 27A1 FE0F	👨🏿‍🦯‍➡️
1F468 1F3FF 200D 1F9BC 200D 27A1 FE0F	👨🏿‍🦼‍➡️
1F468 1F3FF 200D 1F9BD 200D 27A1 FE0F	👨🏿‍🦽‍➡️
1F469 200D 2695 FE0F	👩‍⚕️
1F469 200D 2696 FE0F	👩‍⚖️
1F469 200D 2708 FE0F	👩‍✈️
1F469 200D 2764 FE0F 200D 1F468	👩‍❤️‍👨
1F469 200D 2764 FE0F 200D 1F469	👩‍❤️‍👩
1F469 200D 2764 FE0F 200D 1F48B 200D 1F468	👩‍❤️‍💋‍👨
1F469 200D 2764 FE0F 200D 1F48B 200D 1F469	👩‍❤️‍💋‍👩
1F469 200D 1F9AF 200D 27A1 FE0F	👩‍🦯‍➡️
1F469 200D 1F9BC 200D 27A1 FE0F	👩‍🦼‍➡️
1F469 200D 1F9BD 200D 27A1 FE0F	👩‍🦽‍➡️
1F469 1F3FB 200D 2695 FE0F	👩🏻‍⚕️
1F469 1F3FB 200D 2696 FE0F	👩🏻‍⚖️
1F469 1F3FB 200D 2708 FE0F	👩🏻‍✈️
1F469 1F3FB 200D 2764 FE0F 200D 1F468 1F3FB	👩🏻‍❤️‍👨🏻
1F469 1F3FB 200D 2764 FE0F 200D 1F468 1F3FC	👩🏻‍❤️‍👨🏼
1F469 1F3FB 200D 2764 FE0F 200D 1F468 1F3FD	👩🏻‍❤️‍👨🏽
1F469 1F3FB 200D 2764 FE0F 200D 1F468 1F3FE	👩🏻‍❤️‍👨🏾
1F469 1F3FB 200D 2764 FE0F 200D 1F468 1F3FF	👩🏻‍❤️‍👨🏿
1F469 1F3FB 200D 2764 FE0F 200D 1F469 1F3FB	👩🏻‍❤️‍👩🏻
1F469 1F3FB 200D 2764 FE0F 200D 1F469 1F3FC	👩🏻‍❤️‍👩🏼
1F469 1F3FB 200D 2764 FE0F 200D 1F469 1F3FD	👩🏻‍❤️‍👩🏽
1F469 1F3FB 200D 2764 FE0F 200D 1F469 1F3FE	👩🏻‍❤️‍👩🏾
1F469 1F3FB 200D 2764 FE0F 200D 1F469 1F3FF	👩🏻‍❤️‍👩🏿
1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB	👩🏻‍❤️‍💋‍👨🏻
1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC	👩🏻‍❤️‍💋‍👨🏼
1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD	👩🏻‍❤️‍💋‍👨🏽
1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE	👩🏻‍❤️‍💋‍👨🏾
1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF	👩🏻‍❤️‍💋‍👨🏿
1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB	👩🏻‍❤️‍💋‍👩🏻
1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC	👩🏻‍❤️‍💋‍👩🏼
1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD	👩🏻‍❤️‍💋‍👩🏽
1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE	👩🏻‍❤️‍💋‍👩🏾
1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF	👩🏻‍❤️‍💋‍👩🏿
1F469 1F3FB 200D 1F9AF 200D 27A1 FE0F	👩🏻‍🦯‍➡️
1F469 1F3FB 200D 1F9BC 200D 27A1 FE0F	👩🏻‍🦼‍➡️
1F469 1F3FB 200D 1F9BD 200D 27A1 FE0F	👩🏻‍🦽‍➡️
1F469 1F3FC 200D 2695 FE0F	👩🏼‍⚕️
1F469 1F3FC 200D 2696 FE0F	👩🏼‍⚖️
1F469 1F3FC 200D 2708 FE0F	👩🏼‍✈️
1F469 1F3FC 200D 2764 FE0F 200D 1F468 1F3FB	👩🏼‍❤️‍👨🏻
1F469 1F3FC 200D 2764 FE0F 200D 1F468 1F3FC	👩🏼‍❤️‍👨🏼
1F469 1F3FC 200D 2764 FE0F 200D 1F468 1F3FD	👩🏼‍❤️‍👨🏽
1F469 1F3FC 200D 2764 FE0F 200D 1F468 1F3FE	👩🏼‍❤️‍👨🏾
1F469 1F3FC 200D 2764 FE0F 200D 1F468 1F3FF	👩🏼‍❤️‍👨🏿
1F469 1F3FC 200D 2764 FE0F 200D 1F469 1F3FB	👩🏼‍❤️‍👩🏻
1F469 1F3FC 200D 2764 FE0F 200D 1F469 1F3FC	👩🏼‍❤️‍👩🏼
1F469 1F3FC 200D 2764 FE0F 200D 1F469 1F3FD	👩🏼‍❤️‍👩🏽
